CustomerID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,segment
1,33,4,115.58949999999999,2,4,5,24,At_risk
10,18,2,4.25,3,2,1,32,About_the_sleep
100,76,2,297.81974999999994,1,2,5,12,Hibernating
1000,42,2,31.286,2,2,3,22,Hibernating
1000035,41,1,16.0,2,1,2,21,Hibernating
1000078,55,1,50.75,1,1,4,11,Hibernating
1000105,39,2,31.33235,2,2,3,22,Hibernating
1000117,31,4,88.8285,2,4,5,24,At_risk
1000120,31,2,24.269999999999996,2,2,3,22,Hibernating
1000146,11,4,42.14135,4,4,4,44,Loyal_customers
1000149,45,1,20.75,2,1,2,21,Hibernating
1000228,17,4,87.92132,4,4,5,44,Loyal_customers
1000244,56,4,63.80024,1,4,4,14,At_risk
1000251,35,3,83.998,2,3,5,23,At_risk
1000288,19,3,26.240000000000002,3,3,3,33,Need_attention
100029,8,6,64.7355,5,5,4,55,Champions
1000325,18,2,7.25,3,2,1,32,About_the_sleep
1000329,43,2,3.3,2,2,1,22,Hibernating
1000345,33,1,1.7984000000000002,2,1,1,21,Hibernating
1000354,7,3,108.02795,5,3,5,53,Potential_loyalists
1000359,5,5,40.89,5,5,4,55,Champions
1000363,28,6,80.796,3,5,5,35,Loyal_customers
1000370,37,4,132.0096,2,4,5,24,At_risk
1000397,11,5,79.89685,4,5,5,45,Loyal_customers
1000405,42,3,188.6695,2,3,5,23,At_risk
100043,49,2,8.9,1,2,1,12,Hibernating
1000434,17,2,24.95,4,2,3,42,Potential_loyalists
1000443,51,1,2.85,1,1,1,11,Hibernating
1000447,20,1,47.46025,3,1,4,31,About_the_sleep
1000459,23,4,22.3198,3,4,2,34,Loyal_customers
1000511,27,4,10.008,3,4,1,34,Loyal_customers
1000520,4,3,44.50625,5,3,4,53,Potential_loyalists
1000556,8,5,59.5369,5,5,4,55,Champions
1000602,19,3,18.95,3,3,2,33,Need_attention
1000617,76,1,4.8,1,1,1,11,Hibernating
1000674,59,1,8.346,1,1,1,11,Hibernating
1000682,45,2,16.35075,2,2,2,22,Hibernating
1000706,13,2,56.99999999999999,4,2,4,42,Potential_loyalists
1000800,19,2,36.34055,3,2,3,32,About_the_sleep
1000871,14,3,149.67950000000002,4,3,5,43,Potential_loyalists
1000893,13,2,106.85499999999999,4,2,5,42,Potential_loyalists
1000904,9,4,104.39450000000001,4,4,5,44,Loyal_customers
1000928,6,4,114.54205,5,4,5,54,Champions
1000943,13,1,7.24,4,1,1,41,Promising
1001,85,1,7.75,1,1,1,11,Hibernating
1001009,19,3,52.486999999999995,3,3,4,33,Need_attention
1001010,62,3,83.75049999999999,1,3,5,13,At_risk
1001027,41,2,252.92480000000003,2,2,5,22,Hibernating
1001062,13,3,33.468500000000006,4,3,3,43,Potential_loyalists
1001082,39,4,55.728,2,4,4,24,At_risk
1001094,11,2,10.25,4,2,1,42,Potential_loyalists
1001111,44,1,35.129999999999995,2,1,3,21,Hibernating
1001113,17,3,74.2661,4,3,5,43,Potential_loyalists
1001131,3,2,9.049999999999999,5,2,1,52,Potential_loyalists
1001141,5,3,51.3543,5,3,4,53,Potential_loyalists
1001189,80,3,38.8834,1,3,3,13,At_risk
1001221,43,1,17.5874,2,1,2,21,Hibernating
1001229,15,6,46.9225,4,5,4,45,Loyal_customers
1001243,12,5,234.19175,4,5,5,45,Loyal_customers
1001266,22,3,41.720749999999995,3,3,4,33,Need_attention
1001294,2,4,77.4572,5,4,5,54,Champions
1001295,63,1,4.890000000000001,1,1,1,11,Hibernating
1001353,13,2,19.35,4,2,2,42,Potential_loyalists
1001355,29,5,46.0525,2,5,4,25,Cant_loose
1001358,25,4,126.50265,3,4,5,34,Loyal_customers
1001395,30,1,8.5,2,1,1,21,Hibernating
1001476,21,2,15.6,3,2,2,32,About_the_sleep
1001492,38,2,46.29775000000001,2,2,4,22,Hibernating
1001520,38,2,7.25,2,2,1,22,Hibernating
1001526,15,1,2.25,4,1,1,41,Promising
1001574,41,1,1.0,2,1,1,21,Hibernating
1001666,77,1,7.3977,1,1,1,11,Hibernating
1001690,6,2,35.7182,5,2,3,52,Potential_loyalists
1001695,14,4,42.40650000000001,4,4,4,44,Loyal_customers
1001710,59,2,11.773,1,2,2,12,Hibernating
1001754,63,3,20.50784,1,3,2,13,At_risk
1001791,75,1,8.9614,1,1,1,11,Hibernating
1001814,23,8,99.08675,3,5,5,35,Loyal_customers
1001836,33,4,65.03040000000001,2,4,4,24,At_risk
1001846,8,4,242.0576,5,4,5,54,Champions
100185,48,3,42.434799999999996,1,3,4,13,At_risk
100186,8,2,13.25,5,2,2,52,Potential_loyalists
1001865,23,2,3.5,3,2,1,32,About_the_sleep
1001941,23,3,65.194,3,3,4,33,Need_attention
1002,9,1,17.80935,4,1,2,41,Promising
1002018,42,1,14.303,2,1,2,21,Hibernating
1002020,31,2,22.450000000000003,2,2,2,22,Hibernating
100205,45,1,23.520999999999997,2,1,3,21,Hibernating
1002062,33,2,2.999,2,2,1,22,Hibernating
1002111,27,3,11.1602,3,3,2,33,Need_attention
1002122,17,4,49.5683,4,4,4,44,Loyal_customers
1002152,45,2,81.34819999999999,2,2,5,22,Hibernating
1002159,40,4,91.91999999999999,2,4,5,24,At_risk
1002165,26,2,7.5,3,2,1,32,About_the_sleep
1002175,14,6,151.4892,4,5,5,45,Loyal_customers
1002178,45,4,66.64225,2,4,4,24,At_risk
1002180,70,2,53.23,1,2,4,12,Hibernating
1002197,41,3,42.9,2,3,4,23,At_risk
